Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-Feb-20,549.9,553.35,539.2,543.35,546.5484288,291407,4792,159268038,44237,15.18,14.15,-6.55
18-Feb-20,564,568.6,537.65,547.75,557.0029972,1172749,8686,653224708,604039,51.51,30.95,-16.25
17-Feb-20,564.25,568.6,556.7,565,563.4776759,554738,8231,312582479,74794,13.48,11.9,0.75
14-Feb-20,543.6,567.4,534.5,565.1,555.2298975,1274020,17985,707373994,115521,9.07,32.9,21.5
13-Feb-20,545,545,532,539.8,536.6930144,94151,3150,50530184,30463,32.36,13,-5.2
12-Feb-20,535.05,542.1,535,539.55,539.7709717,67293,1877,36322808,10170,15.11,7.1,4.5
11-Feb-20,538.6,544.85,532.85,534.45,539.1692896,172580,5872,93049836,20497,11.88,12,-4.15
10-Feb-20,540,543.75,536.45,538.5,539.0860346,158971,4546,85699046,22052,13.87,7.3,-1.5
07-Feb-20,548.2,548.6,538.25,539.6,541.8333822,167257,2830,90625426,26225,15.68,10.35,-8.6
06-Feb-20,533.6,552.85,533.6,546.75,545.883741,474157,6705,258834597,70025,14.77,19.25,13.15
05-Feb-20,519.1,537.75,515.65,533.5,526.5770097,1083266,10765,570422971,431286,39.81,22.1,14.4
04-Feb-20,515.45,522.8,503.9,519.1,512.3999179,316810,5578,162333418,30912,9.76,18.9,3.65
03-Feb-20,495.55,513.2,495.5,510.3,504.7062141,318824,6957,160912454,43808,13.74,17.7,14.75
01-Feb-20,497.8,501.05,483.7,497.35,494.1367699,226329,4290,111837481,15187,6.71,17.35,-0.45
31-Jan-20,487.05,499.15,486.8,496.7,494.0238567,300922,6629,148662647,42952,14.27,12.35,9.65
30-Jan-20,495,495,480.1,489.55,486.9537044,240325,5190,117027149,35314,14.69,14.9,-5.45
29-Jan-20,493,501.45,488.5,490.05,493.8361444,420065,8038,207443280,65940,15.7,12.95,-2.95
28-Jan-20,515.3,515.3,485.95,490.9,491.3501896,1960852,19435,963465002,1263569,64.44,29.35,-24.4
27-Jan-20,522.4,524,511.55,514.3,518.2700976,298755,11020,154835783,67839,22.71,12.45,-8.1
24-Jan-20,520.1,527.2,514.2,524.05,520.409061,396315,18096,206245917,109185,27.55,13,3.95
23-Jan-20,516,526,512.6,523.6,521.7734111,588877,5286,307260361,321192,54.54,13.4,7.6
22-Jan-20,515,524,507.15,514.35,513.4017626,443446,6967,227665958,75172,16.95,16.85,-0.65
21-Jan-20,509.1,515,504.4,511.35,509.6073068,1504760,14648,766836691,1072079,71.25,10.6,2.25
20-Jan-20,501.9,512.7,494.05,509.25,504.9854262,956856,20996,483198335,343333,35.88,18.65,7.35
17-Jan-20,470.1,503.6,470.1,500,496.4183553,1297445,24181,644075513,207141,15.97,33.5,29.9
16-Jan-20,468.55,476.75,468.55,474.05,472.9894708,401550,8899,189928922,158993,39.59,8.2,5.5
15-Jan-20,468,471.85,465,467.75,468.1692985,142169,2394,66559161,35583,25.03,6.85,-0.25
14-Jan-20,467,472.6,467,469.45,469.9994587,2765607,7144,1299833793,2474117,89.46,5.6,2.45
13-Jan-20,456.3,470.25,454.4,468.85,463.536092,276723,3905,128271098,68501,24.75,15.85,12.55
10-Jan-20,465.85,465.9,454.2,457.2,460.9391037,636656,10521,293459646,178189,27.99,11.7,-8.65
09-Jan-20,471,474.05,455.3,459.85,462.66944,622716,10606,288111663,74929,12.03,18.75,-11.15
08-Jan-20,435.4,460.4,435.4,458.95,450.514158,387978,5744,174789582,27077,6.98,25,23.55
07-Jan-20,454,455.2,443.1,445.35,447.8022148,102581,1895,45935999,14257,13.9,12.1,-8.65
06-Jan-20,457,457.4,444.85,449.5,449.7953841,200439,2943,90156537,32986,16.46,12.55,-7.5
03-Jan-20,455,459.15,451.7,455,454.9504345,147522,1942,67115198,15191,10.3,7.45,0
02-Jan-20,454,459.35,453.65,455,455.5583834,125575,1688,57206744,19141,15.24,5.7,1
01-Jan-20,458,460.25,449.8,453.3,454.1642987,178352,2266,81001111,18739,10.51,10.45,-4.7
31-Dec-19,460.65,462.45,454.5,455.8,459.0296665,174810,2535,80242976,23848,13.64,7.95,-4.85
30-Dec-19,457.3,464.75,455.3,460.5,460.6369208,293710,4879,135293670,39789,13.55,9.45,3.2
27-Dec-19,448.9,457,448.75,455.3,453.274198,174622,3683,79151647,42277,24.21,8.25,6.4
26-Dec-19,455.3,456.75,445.45,447.15,450.6022159,275554,4255,124165243,31829,11.55,11.3,-8.15
24-Dec-19,455,460.35,452.65,457.35,456.5698278,334666,4185,152798398,37708,11.27,7.7,2.35
23-Dec-19,446.05,459,446.05,454.65,452.2375829,325802,4707,147339909,16627,5.1,12.95,8.6
20-Dec-19,449.9,460.05,445.75,453.5,453.8308322,537431,8044,243902758,40883,7.61,14.3,3.6
19-Dec-19,436.9,456.4,430.55,448.5,442.8289947,463044,7311,205049309,84024,18.15,25.85,11.6
18-Dec-19,448,448,434.15,438.2,436.0528176,1985663,6569,865853946,1606489,80.9,13.85,-9.8
17-Dec-19,424.05,441.3,417.9,439.95,429.6427434,515982,7254,221687922,69199,13.41,23.4,15.9
16-Dec-19,432,432,420.35,421.8,425.2571593,262316,3064,111551757,32988,12.58,11.65,-10.2
13-Dec-19,440,440.1,426,427.5,431.0873059,362759,6348,156380800,64941,17.9,14.1,-12.5
12-Dec-19,445,445,436.3,438.3,440.6625913,237851,4209,104812038,49964,21.01,8.7,-6.7
11-Dec-19,446,448.65,440.4,442.5,444.5506734,201822,4151,89720106,44642,22.12,8.25,-3.5
10-Dec-19,446.75,451.1,443.6,447.05,447.5417636,253965,3255,113659944,17970,7.08,7.5,0.3
09-Dec-19,448.75,451.55,441.85,445.75,446.5891831,292819,3906,130769798,30862,10.54,9.7,-3
06-Dec-19,451.55,452.1,442.65,444.75,447.0709005,405794,5730,181418689,55328,13.63,9.45,-6.8
05-Dec-19,464.2,464.2,445.05,447.2,451.4359048,543715,10478,245452473,62450,11.49,19.15,-17
04-Dec-19,459,464.75,454.65,460.85,460.281445,638910,8588,294078418,112876,17.67,10.1,1.85
03-Dec-19,459.1,465,445.5,458.95,454.3583354,1068711,15305,485577751,124054,11.61,19.5,-0.15
02-Dec-19,470,485.75,455.15,458.55,470.2183342,2026151,30749,952733348,409135,20.19,30.6,-11.45
